movie_id,crew_name,job,department
193,David Carson,Director,Directing
25066,Rusty Cundieff,Director,Directing
46797,Brian Gilbert,Director,Directing
12122,John Carpenter,Director,Directing
11381,Peter Segal,Director,Directing
32636,Louis Malle,Director,Directing
36141,Steven Soderbergh,Director,Directing
95963,Preston A. Whitmore II,Director,Directing
1587,Lasse Hallström,Director,Directing
9271,Brett Leonard,Director,Directing
2064,Jon Turteltaub,Director,Directing
19855,Jon Avnet,Director,Directing
60855,Mina Shum,Director,Directing
236,P.J. Hogan,Director,Directing
48287,Melanie Mayron,Director,Directing
3049,Tom Shadyac,Director,Directing
2759,Stephan Elliott,Director,Directing
12635,Iain Softley,Director,Directing
10497,Roman Polanski,Director,Directing
11382,Woody Allen,Director,Directing
9331,Phillip Noyce,Director,Directing
10731,Joel Schumacher,Director,Directing
10464,Jessie Nelson,Director,Directing
34152,Spike Lee,Director,Directing
9495,Alex Proyas,Director,Directing
29973,Ron Shelton,Director,Directing
888,Brian Levant,Director,Directing
13,Robert Zemeckis,Director,Directing
712,Mike Newell,Director,Directing
16295,John Singleton,Director,Directing
48992,Darnell Martin,Director,Directing
10879,Charles Shyer,Director,Directing
10660,Andrew Bergman,Director,Directing
10714,Stephen Sommers,Director,Directing
41647,Ray Müller,Director,Directing
8587,Roger Allers,Director,Directing
8587,Rob Minkoff,Director,Directing
1689,Bernardo Bertolucci,Director,Directing
11596,Wes Craven,Director,Directing
854,Chuck Russell,Director,Directing
9359,Richard Donner,Director,Directing
23333,Alan Rudolph,Director,Directing
36593,Peter Segal,Director,Directing
12280,Ron Howard,Director,Directing
2788,Ben Stiller,Director,Directing
10427,John Dahl,Director,Directing
11011,Donald Petrie,Director,Directing
49803,Robert Allan Ackerman,Director,Directing
8987,Curtis Hanson,Director,Directing
1637,Jan de Bont,Director,Directing
15128,Ron Underwood,Director,Directing
8831,Peter Hyams,Director,Directing
36955,James Cameron,Director,Directing
10449,Luis Mandoki,Director,Directing
10395,Mike Nichols,Director,Directing
12160,Lawrence Kasdan,Director,Directing
40480,Damian Harris,Director,Directing
52038,Suri Krishnamma,Director,Directing
29444,Jefery Levy,Director,Directing
26352,Keenen Ivory Wayans,Director,Directing
39953,Robert Lee King,Director,Directing
39953,Brian Sloan,Director,Directing
39953,Raoul O'Connell,Director,Directing
41580,Yves Angelo,Director,Directing
315,Russ Meyer,Director,Directing
22067,Doug McHenry,Director,Directing
18242,Dave Borthwick,Director,Directing
11667,Steven E. de Souza,Director,Directing
32502,Wallace Wolodarsky,Director,Directing
267188,Michael A. Nickles,Director,Directing
28732,Paul Warner,Director,Directing
75555,Vincent Robert,Director,Directing
42981,Theodore Thomas,Director,Directing
278939,Lucas Platt,Director,Directing
291731,Ross Kagan Marks,Director,Directing
226229,Paul Williams,Director,Directing
203119,Robert Wuhl,Director,Directing
172923,Roberto Sneider,Director,Directing
316098,Jack Baxter,Director,Directing
316098,Jefri Aalmuhammed,Director,Directing
8011,Andrew Morahan,Director,Directing
171857,Michael Corrente,Director,Directing
2654,John Carpenter,Director,Directing
18069,John G. Avildsen,Director,Directing
19092,Jeff Pollack,Director,Directing
2758,Barry Sonnenfeld,Director,Directing
38129,Thomas Schlamme,Director,Directing
10436,Martin Scorsese,Director,Directing
13595,Michael Lehmann,Director,Directing
46094,Paul Michael Glaser,Director,Directing
9409,John Badham,Director,Directing
11853,Jonathan Kaplan,Director,Directing
16771,Whit Stillman,Director,Directing
46924,Bill Forsyth,Director,Directing
11041,Penelope Spheeris,Director,Directing
306,John Landis,Director,Directing
14522,Caroline Thompson,Director,Directing
26203,Michael Apted,Director,Directing
178,Stephen Hopkins,Director,Directing
19819,William Friedkin,Director,Directing
57834,Tony Richardson,Director,Directing
4722,Abel Ferrara,Director,Directing
18215,Jennifer Chambers Lynch,Director,Directing
1607,Robert De Niro,Director,Directing
26391,Adam Resnick,Director,Directing
117553,John Whitesell,Director,Directing
6075,Brian De Palma,Director,Directing
11310,Paul Weiland,Director,Directing
18658,Mick Jackson,Director,Directing
9350,Renny Harlin,Director,Directing
9612,Steve Barron,Director,Directing
2124,Richard Rush,Director,Directing
26261,Michael Ritchie,Director,Directing
19176,Gregg Champion,Director,Directing
49299,Abel Ferrara,Director,Directing
11566,Ivan Reitman,Director,Directing
9571,Richard Linklater,Director,Directing
9739,Marco Brambilla,Director,Directing
24257,Bruce Brown,Director,Directing
34444,Gus Van Sant,Director,Directing
26141,Carl Reiner,Director,Directing
10997,Chen Kaige,Director,Directing
50463,Donald Petrie,Director,Directing
10443,Peter Weir,Director,Directing
20239,Rusty Cundieff,Director,Directing
16297,Alek Keshishian,Director,Directing
18551,Steve Kloves,Director,Directing
25440,John Irvin,Director,Directing
9024,Barry Sonnenfeld,Director,Directing
37233,Sydney Pollack,Director,Directing
1634,Simon Wincer,Director,Directing
13815,Boaz Yakin,Director,Directing
5503,Andrew Davis,Director,Directing
35588,Walter Hill,Director,Directing
2087,Roger Donaldson,Director,Directing
41579,Howard Deutch,Director,Directing
18620,Rose Troche,Director,Directing
41006,Bruce Beresford,Director,Directing
4916,Sidney Lumet,Director,Directing
2019,John Woo,Director,Directing
31642,Oliver Stone,Director,Directing
9255,Jim Abrahams,Director,Directing
26271,Julianna Lavin,Director,Directing
10612,Christopher Monger,Director,Directing
2259,Bille August,Director,Directing
16097,Eric Meza,Director,Directing
11934,Joel Coen,Director,Directing
106143,James L. Brooks,Director,Directing
12475,"Daniel Petrie, Jr.",Director,Directing
9386,Wolfgang Petersen,Director,Directing
7984,Jim Sheridan,Director,Directing
59930,Matty Rich,Director,Directing
15765,Brian Gibson,Director,Directing
31643,Barry Levinson,Director,Directing
6,Stephen Hopkins,Director,Directing
329,Steven Spielberg,Director,Directing
10909,Dominic Sena,Director,Directing
507,Roger Avary,Director,Directing
34024,Steven Soderbergh,Director,Directing
29918,Daniel Petrie,Director,Directing
9593,John McTiernan,Director,Directing
42580,James Lapine,Director,Directing
22317,Simon Wincer,Director,Directing
22317,Paul Hogan,Director,Directing
22317,Greg Coote,Director,Directing
1413,David Cronenberg,Director,Directing
12121,Richard Benjamin,Director,Directing
2246,Harold Becker,Director,Directing
10502,Mel Gibson,Director,Directing
10440,Woody Allen,Director,Directing
9516,Albert Hughes,Director,Directing
9516,Allen Hughes,Director,Directing
2320,Stuart Baird,Director,Directing
5879,Nagisa Ōshima,Director,Directing
83718,Tom Noonan,Director,Directing
11971,Kenneth Branagh,Director,Directing
2625,Mike Figgis,Director,Directing
31911,Anthony Minghella,Director,Directing
788,Chris Columbus,Director,Directing
21450,Mike Leigh,Director,Directing
11231,Christopher Cain,Director,Directing
41588,Michael Tolkin,Director,Directing
10447,Martin Campbell,Director,Directing
31586,Rob Reiner,Director,Directing
9300,Sally Potter,Director,Directing
9559,Clint Eastwood,Director,Directing
9800,Jonathan Demme,Director,Directing
713,Jane Campion,Director,Directing
8291,John Singleton,Director,Directing
18133,David S. Ward,Director,Directing
25557,Stuart Orme,Director,Directing
22588,Mel Smith,Director,Directing
10872,Ted Demme,Director,Directing
1245,James Ivory,Director,Directing
11858,Penny Marshall,Director,Directing
7007,Philip Kaufman,Director,Directing
10467,Alan Parker,Director,Directing
5550,Fred Dekker,Director,Directing
8005,Mel Brooks,Director,Directing
2088,Peter Medak,Director,Directing
10412,Geoffrey Wright,Director,Directing
47889,Victor Nunez,Director,Directing
14534,David Anspaugh,Director,Directing
56583,Tim Hunter,Director,Directing
41878,Cyril Collard,Director,Directing
424,Steven Spielberg,Director,Directing
35233,Michael Ritchie,Director,Directing
14291,Steven Zaillian,Director,Directing
103413,Chris Menges,Director,Directing
11236,Agnieszka Holland,Director,Directing
11592,John Waters,Director,Directing
8850,Russell Mulcahy,Director,Directing
10445,Richard Attenborough,Director,Directing
695,Robert Altman,Director,Directing
43535,Gillies MacKinnon,Director,Directing
12519,John Duigan,Director,Directing
23210,Fred Schepisi,Director,Directing
858,Nora Ephron,Director,Directing
867,Phillip Noyce,Director,Directing
78,Ridley Scott,Director,Directing
13203,Steve Rash,Director,Directing
10442,Thomas Schlamme,Director,Directing
11074,Rowdy Herrington,Director,Directing
33367,Arthur Joffé,Director,Directing
9607,Annabel Jankel,Director,Directing
9607,Rocky Morton,Director,Directing
17585,Ernest R. Dickerson,Director,Directing
9057,Deran Sarafian,Director,Directing
20967,François Girard,Director,Directing
10635,Andrew Fleming,Director,Directing
9479,Henry Selick,Director,Directing
10057,Stephen Herek,Director,Directing
11969,George P. Cosmatos,Director,Directing
41590,Heywood Gould,Director,Directing
319,Tony Scott,Director,Directing
26408,D.A. Pennebaker,Director,Directing
26408,Chris Hegedus,Director,Directing
15139,Joe Johnston,Director,Directing
15139,Pixote Hunt,Director,Directing
15139,Maurice Hunt,Director,Directing
161158,Jerry Ciccoritti,Director,Directing
218473,Jennifer Warren,Director,Directing
85247,Mark Malone,Director,Directing
11446,Todd Solondz,Director,Directing
51980,Claude Berri,Director,Directing
24405,Dennis Hopper,Director,Directing
11655,Guillermo del Toro,Director,Directing
11800,Daniel Algrant,Director,Directing
8223,Pedro Almodóvar,Director,Directing
14587,Gurinder Chadha,Director,Directing
31504,Andrew Scheinman,Director,Directing
41653,Åke Sandgren,Director,Directing
53185,Richard Loncraine,Director,Directing
95743,Eva Sereny,Director,Directing
23637,Lina Wertmüller,Director,Directing
17600,David O. Russell,Director,Directing
10897,Penelope Spheeris,Director,Directing
349394,Rémy Duchemin,Director,Directing
21352,George T. Miller,Director,Directing
68806,Ricky Tognazzi,Director,Directing
37345,Michael Austin,Director,Directing
32562,Rob Epstein,Director,Directing
32562,Jeffrey Friedman,Director,Directing
47507,Mathieu Kassovitz,Director,Directing
25403,Nanni Moretti,Director,Directing
124304,María Luisa Bemberg,Director,Directing
9066,Betty Thomas,Director,Directing
771,Chris Columbus,Director,Directing
251,Jerry Zucker,Director,Directing
812,Ron Clements,Director,Directing
812,John Musker,Director,Directing
280,James Cameron,Director,Directing
581,Kevin Costner,Director,Directing
80350,Steve Cohen,Director,Directing
268,Tim Burton,Director,Directing
274,Jonathan Demme,Director,Directing
408,David Hand,Director,Directing
10020,Gary Trousdale,Director,Directing
10020,Kirk Wise,Director,Directing
10895,Hamilton Luske,Director,Directing
10895,Ben Sharpsteen,Director,Directing
114,Garry Marshall,Director,Directing
41043,Yuri Mamin,Director,Directing
576,Sam Peckinpah,Director,Directing
15477,C.M. Talkington,Director,Directing
59146,Huang Jianxin,Director,Directing
124472,Jean Bach,Director,Directing
30528,Sam Weisman,Director,Directing
7300,Michael Hoffman,Director,Directing
10824,Bill Condon,Director,Directing
261246,Stephen Poliakoff,Director,Directing
275,Joel Coen,Director,Directing
25059,David R. Ellis,Director,Directing
11827,Gerald Potterton,Director,Directing
8766,Kevin Yagher,Director,Directing
8766,Joe Chappelle,Director,Directing
23570,Matt Reeves,Director,Directing
47333,Franco Zeffirelli,Director,Directing
54850,Anna Campion,Director,Directing
51242,Franco Brusati,Director,Directing
10112,Wolfgang Reitherman,Director,Directing
4307,Pedro Almodóvar,Director,Directing
46029,Fernando Trueba,Director,Directing
32308,Bill Couturié,Director,Directing
88893,Werner Herzog,Director,Directing
52873,André Téchiné,Director,Directing
340210,Mika Kaurismäki,Director,Directing
44281,Férid Boughedir,Director,Directing
28121,Martin Lawrence,Director,Directing
12520,Stacy Title,Director,Directing
1592,Gregory Hoblit,Director,Directing
166901,Clément Virgo,Director,Directing
36447,Bruno Barreto,Director,Directing
19042,Paul Sabella,Director,Directing
19042,Larry Leker,Director,Directing
38884,Ken Loach,Director,Directing
47449,Hal Salwen,Director,Directing
36259,Jonathan R. Betuel,Director,Directing
41852,Richard Pearce,Director,Directing
40926,Todd Verow,Director,Directing
9099,Jonathan Lynn,Director,Directing
2021,Tim Sullivan,Director,Directing
61752,Spike Lee,Director,Directing
10988,Jeremiah S. Chechik,Director,Directing
11479,Hervé Palud,Director,Directing
398959,Martin Enlen,Director,Directing
287305,Carlo Rola,Director,Directing
12652,Claude Sautet,Director,Directing
10684,Edward Zwick,Director,Directing
954,Brian De Palma,Director,Directing
68445,Friðrik Þór Friðriksson,Director,Directing
18989,Pen Densham,Director,Directing
10801,Sönke Wortmann,Director,Directing
54285,Park Chul-soo,Director,Directing
8840,Rob Cohen,Director,Directing
278978,Joseph Vilsmaier,Director,Directing
124625,Michael Verhoeven,Director,Directing
11107,Steve Rash,Director,Directing
16417,Gray Hofmeyr,Director,Directing
70934,Richard Wherrett,Director,Directing
10363,René Clément,Director,Directing
161070,Anthony Hopkins,Director,Directing
10539,Henry Selick,Director,Directing
10543,James Foley,Director,Directing
18414,Kelly Makin,Director,Directing
47502,Paul Mazursky,Director,Directing
11902,Emir Kusturica,Director,Directing
27098,Bo Widerberg,Director,Directing
25087,Alan Mehrez,Director,Directing
5801,Satyajit Ray,Director,Directing
896,Satyajit Ray,Director,Directing
3065,Jim Mallon,Director,Directing
2300,Joe Pytka,Director,Directing
8069,Roger Vadim,Director,Directing
288173,Catherine Cyran,Director,Directing
187851,Brett Piper,Director,Directing
27768,George Hickenlooper,Director,Directing
221917,Peter Yates,Director,Directing
8072,Jean-Luc Godard,Director,Directing
35797,Bertrand Tavernier,Director,Directing
88030,Mika Kaurismäki,Director,Directing
185191,Claude Chabrol,Director,Directing
83857,Gordon Willis,Director,Directing
33245,Randal Kleiser,Director,Directing
124460,Michael Blakemore,Director,Directing
27281,Simon Wincer,Director,Directing
105045,Margarethe von Trotta,Director,Directing
40001,Richard Benjamin,Director,Directing
29621,Norberto Barba,Director,Directing
117730,Eli Cohen,Director,Directing
20762,Robert Mandel,Director,Directing
37144,Pat Verducci,Director,Directing
48260,Michael Winterbottom,Director,Directing
12656,Steven Baigelman,Director,Directing
38867,Zalman King,Director,Directing
277270,Barry Caillier,Director,Directing
25969,Patrick Read Johnson,Director,Directing
44103,Stijn Coninx,Director,Directing
753,John Cassavetes,Director,Directing
43634,Stacy Cochran,Director,Directing
9103,Jean-Claude Van Damme,Director,Directing
90214,Mark Joffe,Director,Directing
29649,Steve Gomer,Director,Directing
10990,Lee Tamahori,Director,Directing
8866,Michael Lehmann,Director,Directing
12233,George Scribner,Director,Directing
23449,Tom DeCerchio,Director,Directing
36355,Alan Shapiro,Director,Directing
37667,Angela Pope,Director,Directing
90148,Betty Kaplan,Director,Directing
922,Jim Jarmusch,Director,Directing
11876,Jean-Paul Rappeneau,Director,Directing
52633,Jack Hill ,Director,Directing
62364,Manuel Gómez Pereira,Director,Directing
11687,Jean-Marie Poiré,Director,Directing
9304,Harold Ramis,Director,Directing
73183,Brett Thompson,Director,Directing
131232,Francesco Sframeli,Director,Directing
131232,Spiro Scimone,Director,Directing
9100,Andrew Fleming,Director,Directing
20759,Reginald Hudlin,Director,Directing
46063,Bruce Beresford,Director,Directing
32513,John Schlesinger,Director,Directing
40651,Stephen Quay,Director,Directing
40651,Timothy Quay,Director,Directing
36915,Phil Joanou,Director,Directing
40507,Larry Cohen,Director,Directing
9802,Michael Bay,Director,Directing
25697,Harvey Miller,Director,Directing
21588,Michele Soavi,Director,Directing
664,Jan de Bont,Director,Directing
11867,David Hogan,Director,Directing
47119,Maurice Pialat,Director,Directing
314352,Gabriel Barylli,Director,Directing
9323,Mamoru Oshii,Director,Directing
10280,Tom Holland,Director,Directing
10535,Rick Friedberg,Director,Directing
124613,Udayan Prasad,Director,Directing
532,Nick Park,Director,Directing
26744,Abraham Polonsky,Director,Directing
16299,John Landis,Director,Directing
10547,David Twohy,Director,Directing
